topic,palabra,peso
0,corrupto,7.166
0,hdp,5.166
0,senor,5.166
0,corrupcion,3.165
0,gobierno,0.172
0,posesion,0.168
0,guatemala,0.167
0,caso,0.167
0,presidente,0.167
0,quieren,0.167
1,guatemala,27.165
1,pueblo,14.166
1,presidente,11.878
1,verguenza,5.166
1,congreso,5.166
1,posesion,5.165
1,electo,5.165
1,gobierno,2.158
1,senor,0.167
1,corrupcion,0.167
2,corrupcion,9.168
2,excelente,9.167
2,ley,6.167
2,anos,0.167
2,guatemala,0.167
2,giammattei,0.167
2,gobierno,0.167
2,verguenza,0.167
2,pueblo,0.167
2,ojala,0.167
3,corruptos,22.165
3,anos,5.925
3,quieren,2.331
3,gobierno,1.163
3,electo,0.168
3,presidente,0.168
3,caso,0.167
3,ojala,0.167
3,senor,0.167
3,verguenza,0.167
4,gente,10.166
4,giammattei,7.166
4,senora,6.166
4,presidente,3.451
4,ojala,3.163
4,anos,1.407
4,congreso,1.167
4,gobierno,1.164
4,verguenza,0.167
4,corrupto,0.167
5,mp,8.166
5,quieren,8.002
5,caso,6.166
5,gobierno,3.176
5,ojala,2.169
5,presidente,2.169
5,electo,1.167
5,verguenza,1.166
5,anos,0.168
5,corruptos,0.167
