topic,palabra,peso
0,guatemala,34.509
0,ilegal,25.165
0,corruptos,19.454
0,mp,18.956
0,magistrados,18.955
0,cc,16.308
0,corrupto,14.149
0,grabo,13.96
0,corrupcion,12.876
0,seria,12.704
1,trafico,27.166
1,pacto,21.983
1,pasa,21.014
1,violencia,16.165
1,corruptos,15.081
1,agua,14.949
1,gobierno,13.136
1,pueblo,12.097
1,gente,11.572
1,seguro,11.166
2,golpe,35.165
2,pueblo,29.414
2,corruptos,27.964
2,paso,24.403
2,quieren,18.001
2,poblacion,15.166
2,fraude,15.09
2,cacif,15.047
2,guatemala,13.453
2,bloqueos,13.17
3,gobierno,29.895
3,presidente,25.792
3,semilla,21.178
3,verguenza,18.165
3,corrupcion,16.517
3,congreso,14.24
3,anda,13.947
3,mula,13.141
3,ojala,12.324
3,privado,11.847
4,gracias,43.165
4,mp,37.375
4,mierda,23.171
4,coche,21.166
4,muletas,21.012
4,hdp,19.165
4,caso,17.602
4,alguien,15.877
4,vayan,14.09
4,llega,13.031
5,gente,26.761
5,cc,24.209
5,gratis,21.458
5,partido,16.165
5,jajajaja,14.082
5,mentiroso,13.165
5,juegos,12.167
5,ninos,12.165
5,guate,11.954
5,ley,11.68
