topic,palabra,peso
0,trabajando,17.165
0,presidente,12.295
0,urge,9.166
0,salud,8.938
0,nacional,7.169
0,tema,7.166
0,favor,6.802
0,guatemala,6.638
0,autopista,6.166
0,desnutricion,6.163
1,presidente,49.077
1,alimentos,24.166
1,nebaj,20.167
1,quiche,18.166
1,familias,17.731
1,santa,17.166
1,maria,17.166
1,raciones,14.167
1,entrega,14.166
1,ministro,13.009
2,gracias,12.165
2,ley,9.166
2,seguro,9.166
2,visto,6.167
2,nefastos,6.167
2,jimmy,6.166
2,giammattei,6.166
2,fraude,6.166
2,percepcion,5.172
2,jajaja,5.167
3,gobierno,45.164
3,corrupcion,21.166
3,corruptos,16.165
3,mierda,14.165
3,gente,12.843
3,seguir,9.165
3,delincuentes,8.166
3,corrupto,8.165
3,mp,7.167
3,presupuesto,7.167
4,roosevelt,13.167
4,bolos,13.166
4,4calle,11.167
4,10,10.166
4,z11,9.167
4,pnc,9.166
4,cantina,8.167
4,10av,8.167
4,policia,8.167
4,licor,8.166
5,guatemala,22.305
5,ministro,20.444
5,pueblo,17.165
5,anos,14.165
5,excelente,13.166
5,senor,11.749
5,resultados,10.171
5,jovel,8.169
5,dinero,8.166
5,dando,6.166
