topic,palabra,peso
0,presidente,128.516
0,senor,50.758
0,pueblo,22.118
0,corruptos,12.142
0,cambio,12.047
0,haga,11.498
0,robo,10.004
0,colombia,9.166
0,uribe,9.166
0,seguridad,8.167
1,guatemala,34.222
1,gente,22.615
1,papa,21.915
1,favor,16.165
1,vida,15.728
1,gracias,14.806
1,huevos,14.101
1,ojala,13.814
1,escuela,13.166
1,escuelas,11.165
2,arevalo,72.988
2,viva,29.165
2,presidente,27.47
2,jajaja,20.165
2,corrupto,20.162
2,bernardo,11.165
2,guatemala,10.573
2,deja,9.331
2,sirve,9.026
2,porqueria,8.165
3,mierda,28.684
3,puta,22.165
3,pegasus,19.165
3,hijo,16.859
3,viejo,12.165
3,jajajaja,10.957
3,guatemala,10.908
3,giammattei,9.987
3,lastima,9.892
3,paso,9.745
4,padre,60.165
4,gobierno,21.188
4,legado,20.26
4,anos,18.463
4,memoria,15.526
4,verguenza,9.372
4,medicinas,9.168
4,atencion,9.164
4,apellido,8.655
4,inutil,8.169
5,gobierno,36.041
5,corruptos,24.473
5,semilla,21.749
5,madre,17.765
5,guatemaltecos,15.165
5,salud,13.566
5,centros,13.174
5,guatemala,11.962
5,verguenza,11.959
5,palin,11.164
